station,time,jour,period
chatelet,12:41,semaine,jan_2018
chatelet,12:47,semaine,jan_2018
chatelet,12:53,semaine,jan_2018
chatelet,12:56,semaine,jan_2018
chatelet,13:02,semaine,jan_2018
chatelet,13:08,semaine,jan_2018
chatelet,13:11,semaine,jan_2018
chatelet,13:17,semaine,jan_2018
chatelet,13:23,semaine,jan_2018
chatelet,13:26,semaine,jan_2018
chatelet,13:32,semaine,jan_2018
chatelet,13:38,semaine,jan_2018
chatelet,13:41,semaine,jan_2018
chatelet,13:47,semaine,jan_2018
chatelet,13:53,semaine,jan_2018
chatelet,13:56,semaine,jan_2018
chatelet,14:02,semaine,jan_2018
chatelet,14:08,semaine,jan_2018
chatelet,14:11,semaine,jan_2018
chatelet,14:17,semaine,jan_2018
chatelet,14:23,semaine,jan_2018
chatelet,14:26,semaine,jan_2018
chatelet,14:32,semaine,jan_2018
chatelet,14:38,semaine,jan_2018
chatelet,14:41,semaine,jan_2018
chatelet,14:47,semaine,jan_2018
chatelet,14:53,semaine,jan_2018
chatelet,14:56,semaine,jan_2018
chatelet,15:02,semaine,jan_2018
chatelet,15:08,semaine,jan_2018
chatelet,15:11,semaine,jan_2018
chatelet,15:17,semaine,jan_2018
chatelet,15:23,semaine,jan_2018
chatelet,15:26,semaine,jan_2018
chatelet,15:32,semaine,jan_2018
chatelet,15:38,semaine,jan_2018
chatelet,15:41,semaine,jan_2018
chatelet,15:47,semaine,jan_2018
chatelet,15:53,semaine,jan_2018
chatelet,15:56,semaine,jan_2018
chatelet,16:02,semaine,jan_2018
chatelet,16:08,semaine,jan_2018
chatelet,16:11,semaine,jan_2018
chatelet,16:17,semaine,jan_2018
chatelet,16:23,semaine,jan_2018
chatelet,16:26,semaine,jan_2018
chatelet,16:32,semaine,jan_2018
chatelet,16:35,semaine,jan_2018
chatelet,16:38,semaine,jan_2018
chatelet,16:41,semaine,jan_2018
chatelet,16:44,semaine,jan_2018
chatelet,16:47,semaine,jan_2018
chatelet,16:50,semaine,jan_2018
chatelet,16:53,semaine,jan_2018
chatelet,16:56,semaine,jan_2018
chatelet,16:59,semaine,jan_2018
chatelet,17:02,semaine,jan_2018
chatelet,17:05,semaine,jan_2018
chatelet,17:08,semaine,jan_2018
chatelet,17:11,semaine,jan_2018
chatelet,17:14,semaine,jan_2018
chatelet,17:17,semaine,jan_2018
chatelet,17:20,semaine,jan_2018
chatelet,17:23,semaine,jan_2018
chatelet,17:26,semaine,jan_2018
chatelet,17:29,semaine,jan_2018
chatelet,17:32,semaine,jan_2018
chatelet,17:35,semaine,jan_2018
chatelet,17:38,semaine,jan_2018
chatelet,17:41,semaine,jan_2018
chatelet,17:44,semaine,jan_2018
chatelet,17:47,semaine,jan_2018
chatelet,17:50,semaine,jan_2018
chatelet,17:53,semaine,jan_2018
chatelet,17:56,semaine,jan_2018
chatelet,17:59,semaine,jan_2018
chatelet,18:02,semaine,jan_2018
chatelet,18:05,semaine,jan_2018
chatelet,18:08,semaine,jan_2018
chatelet,18:11,semaine,jan_2018
chatelet,18:14,semaine,jan_2018
chatelet,18:17,semaine,jan_2018
chatelet,18:20,semaine,jan_2018
chatelet,18:23,semaine,jan_2018
chatelet,18:26,semaine,jan_2018
chatelet,18:29,semaine,jan_2018
chatelet,18:32,semaine,jan_2018
chatelet,18:35,semaine,jan_2018
chatelet,18:38,semaine,jan_2018
chatelet,18:41,semaine,jan_2018
chatelet,18:44,semaine,jan_2018
chatelet,18:47,semaine,jan_2018
chatelet,18:50,semaine,jan_2018
chatelet,18:53,semaine,jan_2018
chatelet,18:56,semaine,jan_2018
chatelet,18:59,semaine,jan_2018
chatelet,19:02,semaine,jan_2018
chatelet,19:05,semaine,jan_2018
chatelet,19:08,semaine,jan_2018
chatelet,19:11,semaine,jan_2018
chatelet,19:14,semaine,jan_2018
chatelet,19:17,semaine,jan_2018
chatelet,19:20,semaine,jan_2018
chatelet,19:23,semaine,jan_2018
chatelet,19:26,semaine,jan_2018
chatelet,19:29,semaine,jan_2018
chatelet,19:32,semaine,jan_2018
chatelet,19:35,semaine,jan_2018
chatelet,19:38,semaine,jan_2018
chatelet,19:41,semaine,jan_2018
chatelet,19:44,semaine,jan_2018
chatelet,19:47,semaine,jan_2018
chatelet,19:50,semaine,jan_2018
chatelet,19:53,semaine,jan_2018
chatelet,19:56,semaine,jan_2018
chatelet,19:59,semaine,jan_2018
chatelet,20:02,semaine,jan_2018
chatelet,20:05,semaine,jan_2018
chatelet,20:08,semaine,jan_2018
chatelet,20:11,semaine,jan_2018
chatelet,20:14,semaine,jan_2018
chatelet,20:17,semaine,jan_2018
chatelet,20:20,semaine,jan_2018
chatelet,20:23,semaine,jan_2018
chatelet,20:26,semaine,jan_2018
chatelet,20:32,semaine,jan_2018
chatelet,20:38,semaine,jan_2018
chatelet,20:41,semaine,jan_2018
chatelet,20:47,semaine,jan_2018
chatelet,20:53,semaine,jan_2018
chatelet,20:56,semaine,jan_2018
chatelet,21:02,semaine,jan_2018
chatelet,21:08,semaine,jan_2018
chatelet,21:11,semaine,jan_2018
chatelet,21:17,semaine,jan_2018
chatelet,21:23,semaine,jan_2018
chatelet,21:26,semaine,jan_2018
chatelet,21:32,semaine,jan_2018
chatelet,21:38,semaine,jan_2018
chatelet,21:41,semaine,jan_2018
chatelet,21:47,semaine,jan_2018
chatelet,21:53,semaine,jan_2018
chatelet,21:56,semaine,jan_2018
chatelet,22:02,semaine,jan_2018
chatelet,22:07,semaine,jan_2018
chatelet,22:11,semaine,jan_2018
chatelet,22:17,semaine,jan_2018
chatelet,22:23,semaine,jan_2018
chatelet,22:26,semaine,jan_2018
chatelet,22:32,semaine,jan_2018
chatelet,22:38,semaine,jan_2018
chatelet,22:41,semaine,jan_2018
chatelet,22:47,semaine,jan_2018
chatelet,22:53,semaine,jan_2018
chatelet,23:02,semaine,jan_2018
chatelet,23:11,semaine,jan_2018
chatelet,23:17,semaine,jan_2018
chatelet,23:23,semaine,jan_2018
chatelet,23:32,semaine,jan_2018
chatelet,23:41,semaine,jan_2018
chatelet,23:47,semaine,jan_2018
chatelet,23:56,semaine,jan_2018
chatelet,0:02,semaine,jan_2018
chatelet,0:11,semaine,jan_2018
chatelet,0:17,semaine,jan_2018
chatelet,0:32,semaine,jan_2018
chatelet,0:47,semaine,jan_2018
chatelet,5:26,ferie,nov_2017
chatelet,5:32,ferie,nov_2017
chatelet,5:38,ferie,nov_2017
chatelet,5:41,ferie,nov_2017
chatelet,5:47,ferie,nov_2017
chatelet,5:53,ferie,nov_2017
chatelet,5:56,ferie,nov_2017
chatelet,6:02,ferie,nov_2017
chatelet,6:08,ferie,nov_2017
chatelet,6:11,ferie,nov_2017
chatelet,6:17,ferie,nov_2017
chatelet,6:23,ferie,nov_2017
chatelet,6:26,ferie,nov_2017
chatelet,6:32,ferie,nov_2017
chatelet,6:38,ferie,nov_2017
chatelet,6:41,ferie,nov_2017
chatelet,6:47,ferie,nov_2017
chatelet,6:53,ferie,nov_2017
chatelet,6:56,ferie,nov_2017
chatelet,7:02,ferie,nov_2017
chatelet,7:08,ferie,nov_2017
chatelet,7:11,ferie,nov_2017
chatelet,7:17,ferie,nov_2017
chatelet,7:23,ferie,nov_2017
chatelet,7:26,ferie,nov_2017
chatelet,7:32,ferie,nov_2017
chatelet,7:38,ferie,nov_2017
chatelet,7:41,ferie,nov_2017
chatelet,7:47,ferie,nov_2017
chatelet,7:53,ferie,nov_2017
chatelet,7:56,ferie,nov_2017
chatelet,8:02,ferie,nov_2017
chatelet,8:08,ferie,nov_2017
chatelet,8:11,ferie,nov_2017
chatelet,8:17,ferie,nov_2017
chatelet,8:23,ferie,nov_2017
chatelet,8:26,ferie,nov_2017
chatelet,8:32,ferie,nov_2017
chatelet,8:38,ferie,nov_2017
chatelet,8:41,ferie,nov_2017
chatelet,8:47,ferie,nov_2017
chatelet,8:53,ferie,nov_2017
chatelet,8:56,ferie,nov_2017
chatelet,9:02,ferie,nov_2017
chatelet,9:08,ferie,nov_2017
chatelet,9:11,ferie,nov_2017
chatelet,9:17,ferie,nov_2017
chatelet,9:23,ferie,nov_2017
chatelet,9:26,ferie,nov_2017
chatelet,9:32,ferie,nov_2017
chatelet,9:38,ferie,nov_2017
chatelet,9:41,ferie,nov_2017
chatelet,9:47,ferie,nov_2017
chatelet,9:53,ferie,nov_2017
chatelet,9:56,ferie,nov_2017
chatelet,10:02,ferie,nov_2017
chatelet,10:08,ferie,nov_2017
chatelet,10:11,ferie,nov_2017
chatelet,10:17,ferie,nov_2017
chatelet,10:23,ferie,nov_2017
chatelet,10:26,ferie,nov_2017
chatelet,10:32,ferie,nov_2017
chatelet,10:38,ferie,nov_2017
chatelet,10:41,ferie,nov_2017
chatelet,10:47,ferie,nov_2017
chatelet,10:53,ferie,nov_2017
chatelet,10:56,ferie,nov_2017
chatelet,11:02,ferie,nov_2017
chatelet,11:08,ferie,nov_2017
chatelet,11:11,ferie,nov_2017
chatelet,11:17,ferie,nov_2017
chatelet,11:23,ferie,nov_2017
chatelet,11:26,ferie,nov_2017
chatelet,11:32,ferie,nov_2017
chatelet,11:38,ferie,nov_2017
chatelet,11:41,ferie,nov_2017
chatelet,11:47,ferie,nov_2017
chatelet,11:53,ferie,nov_2017
chatelet,11:56,ferie,nov_2017
chatelet,12:02,ferie,nov_2017
chatelet,12:08,ferie,nov_2017
chatelet,12:11,ferie,nov_2017
chatelet,12:17,ferie,nov_2017
chatelet,12:23,ferie,nov_2017
chatelet,12:26,ferie,nov_2017
chatelet,12:32,ferie,nov_2017
chatelet,12:38,ferie,nov_2017
chatelet,12:41,ferie,nov_2017
chatelet,12:47,ferie,nov_2017
chatelet,12:53,ferie,nov_2017
chatelet,12:56,ferie,nov_2017
chatelet,13:02,ferie,nov_2017
chatelet,13:08,ferie,nov_2017
chatelet,13:11,ferie,nov_2017
chatelet,13:17,ferie,nov_2017
chatelet,13:23,ferie,nov_2017
chatelet,13:26,ferie,nov_2017
chatelet,13:32,ferie,nov_2017
chatelet,13:38,ferie,nov_2017
chatelet,13:41,ferie,nov_2017
chatelet,13:47,ferie,nov_2017
chatelet,13:53,ferie,nov_2017
chatelet,13:56,ferie,nov_2017
chatelet,14:02,ferie,nov_2017
chatelet,14:08,ferie,nov_2017
chatelet,14:11,ferie,nov_2017
chatelet,14:17,ferie,nov_2017
chatelet,14:23,ferie,nov_2017
chatelet,14:26,ferie,nov_2017
chatelet,14:32,ferie,nov_2017
chatelet,14:38,ferie,nov_2017
chatelet,14:41,ferie,nov_2017
chatelet,14:47,ferie,nov_2017
chatelet,14:53,ferie,nov_2017
chatelet,14:56,ferie,nov_2017
chatelet,15:02,ferie,nov_2017
chatelet,15:08,ferie,nov_2017
chatelet,15:11,ferie,nov_2017
chatelet,15:17,ferie,nov_2017
chatelet,15:23,ferie,nov_2017
chatelet,15:26,ferie,nov_2017
chatelet,15:32,ferie,nov_2017
chatelet,15:38,ferie,nov_2017
chatelet,15:41,ferie,nov_2017
chatelet,15:47,ferie,nov_2017
chatelet,15:53,ferie,nov_2017
chatelet,15:56,ferie,nov_2017
chatelet,16:02,ferie,nov_2017
chatelet,16:08,ferie,nov_2017
chatelet,16:11,ferie,nov_2017
chatelet,16:17,ferie,nov_2017
chatelet,16:23,ferie,nov_2017
chatelet,16:26,ferie,nov_2017
chatelet,16:32,ferie,nov_2017
chatelet,16:38,ferie,nov_2017
chatelet,16:41,ferie,nov_2017
chatelet,16:47,ferie,nov_2017
chatelet,16:53,ferie,nov_2017
chatelet,16:56,ferie,nov_2017
chatelet,17:02,ferie,nov_2017
chatelet,17:08,ferie,nov_2017
chatelet,17:11,ferie,nov_2017
chatelet,17:17,ferie,nov_2017
chatelet,17:23,ferie,nov_2017
chatelet,17:26,ferie,nov_2017
chatelet,17:32,ferie,nov_2017
chatelet,17:38,ferie,nov_2017
chatelet,17:41,ferie,nov_2017
chatelet,17:47,ferie,nov_2017
chatelet,17:53,ferie,nov_2017
chatelet,17:56,ferie,nov_2017
chatelet,18:02,ferie,nov_2017
chatelet,18:08,ferie,nov_2017
chatelet,18:11,ferie,nov_2017
chatelet,18:17,ferie,nov_2017
chatelet,18:23,ferie,nov_2017
chatelet,18:26,ferie,nov_2017
chatelet,18:32,ferie,nov_2017
chatelet,18:38,ferie,nov_2017
chatelet,18:41,ferie,nov_2017
chatelet,18:47,ferie,nov_2017
chatelet,18:53,ferie,nov_2017
chatelet,18:56,ferie,nov_2017
chatelet,19:02,ferie,nov_2017
chatelet,19:08,ferie,nov_2017
chatelet,19:11,ferie,nov_2017
chatelet,19:17,ferie,nov_2017
chatelet,19:23,ferie,nov_2017
chatelet,19:26,ferie,nov_2017
chatelet,19:32,ferie,nov_2017
chatelet,19:38,ferie,nov_2017
chatelet,19:41,ferie,nov_2017
chatelet,19:47,ferie,nov_2017
chatelet,19:53,ferie,nov_2017
chatelet,19:56,ferie,nov_2017
chatelet,20:02,ferie,nov_2017
chatelet,20:08,ferie,nov_2017
chatelet,20:11,ferie,nov_2017
chatelet,20:17,ferie,nov_2017
chatelet,20:23,ferie,nov_2017
chatelet,20:26,ferie,nov_2017
chatelet,20:32,ferie,nov_2017
chatelet,20:38,ferie,nov_2017
chatelet,20:41,ferie,nov_2017
chatelet,20:47,ferie,nov_2017
chatelet,20:53,ferie,nov_2017
chatelet,20:56,ferie,nov_2017
chatelet,21:02,ferie,nov_2017
chatelet,21:08,ferie,nov_2017
chatelet,21:11,ferie,nov_2017
chatelet,21:17,ferie,nov_2017
chatelet,21:23,ferie,nov_2017
chatelet,21:26,ferie,nov_2017
chatelet,21:32,ferie,nov_2017
chatelet,21:38,ferie,nov_2017
chatelet,21:41,ferie,nov_2017
chatelet,21:47,ferie,nov_2017
chatelet,21:53,ferie,nov_2017
chatelet,21:56,ferie,nov_2017
chatelet,22:02,ferie,nov_2017
chatelet,22:08,ferie,nov_2017
chatelet,22:11,ferie,nov_2017
chatelet,22:17,ferie,nov_2017
chatelet,22:23,ferie,nov_2017
chatelet,22:26,ferie,nov_2017
chatelet,22:32,ferie,nov_2017
chatelet,22:38,ferie,nov_2017
chatelet,22:41,ferie,nov_2017
chatelet,22:47,ferie,nov_2017
chatelet,22:56,ferie,nov_2017
chatelet,23:02,ferie,nov_2017
chatelet,23:11,ferie,nov_2017
chatelet,23:17,ferie,nov_2017
chatelet,23:26,ferie,nov_2017
chatelet,23:32,ferie,nov_2017
chatelet,23:41,ferie,nov_2017
chatelet,23:47,ferie,nov_2017
chatelet,23:56,ferie,nov_2017
chatelet,0:02,ferie,nov_2017
chatelet,0:11,ferie,nov_2017
chatelet,0:17,ferie,nov_2017
chatelet,0:32,ferie,nov_2017
chatelet,0:47,ferie,nov_2017
